Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
Epoch [42/100] Train Loss: 0.0584, Train Accuracy: 0.9805, Val Loss: 0.0024, Val Accuracy: 1.0000
[0/63] Loss: 0.0270, Accuracy: 0.9922
[10/63] Loss: 0.0287, Accuracy: 0.9943
[20/63] Loss: 0.0406, Accuracy: 0.9881
[30/63] Loss: 0.0402, Accuracy: 0.9887
[40/63] Loss: 0.0398, Accuracy: 0.9886
[50/63] Loss: 0.0430, Accuracy: 0.9868
[60/63] Loss: 0.0412, Accuracy: 0.9873
[0/16] Loss: 0.0130, Accuracy: 1.0000
[10/16] Loss: 0.0115, Accuracy: 1.0000
Epoch [43/100] Train Loss: 0.0414, Train Accuracy: 0.9870, Val Loss: 0.0115, Val Accuracy: 1.0000
[0/63] Loss: 0.1271, Accuracy: 0.9219
[10/63] Loss: 0.0452, Accuracy: 0.9837
[20/63] Loss: 0.0593, Accuracy: 0.9810
[30/63] Loss: 0.0507, Accuracy: 0.9831
[40/63] Loss: 0.0464, Accuracy: 0.9855
[50/63] Loss: 0.0451, Accuracy: 0.9865
[60/63] Loss: 0.0414, Accuracy: 0.9878
[0/16] Loss: 0.0009, Accuracy: 1.0000
[10/16] Loss: 0.0009, Accuracy: 1.0000
Epoch [44/100] Train Loss: 0.0413, Train Accuracy: 0.9879, Val Loss: 0.0009, Val Accuracy: 1.0000
[0/63] Loss: 0.0289, Accuracy: 0.9922
[10/63] Loss: 0.0700, Accuracy: 0.9744
[20/63] Loss: 0.0536, Accuracy: 0.9803
[30/63] Loss: 0.0531, Accuracy: 0.9798
[40/63] Loss: 0.0527, Accuracy: 0.9811
[50/63] Loss: 0.0523, Accuracy: 0.9821
[60/63] Loss: 0.0534, Accuracy: 0.9822
[0/16] Loss: 0.0014, Accuracy: 1.0000
